tariff,sex,premium,probability,age,smooth,raw,Exposure
(all),(all),lfd,sx,34,NA,0.01455841383178615,22979.6261553515
(all),(all),lfd,sx,35,NA,0.013528910364478272,22612.061101911786
(all),(all),lfd,sx,36,NA,0.014622552791670308,20366.253507451453
(all),(all),lfd,sx,37,NA,0.01678244055870132,18671.20418485624
(all),(all),lfd,sx,38,NA,0.016920776354086804,16231.90725575794
(all),(all),lfd,sx,39,NA,0.015860045308759486,14074.092510913744
(all),(all),lfd,sx,40,NA,0.012470412847472478,11475.332214360982
(all),(all),prfrei,qx,0,1.1261986927452297e-4,0,1213.014737317477
(all),(all),prfrei,qx,1,1.1226700637944038e-4,0,3295.563329820864
(all),(all),prfrei,qx,2,1.1191524908165142e-4,2.0242264035466492e-4,4939.65885894927
(all),(all),prfrei,qx,3,1.1156459391707552e-4,0,7079.5027321993075
(all),(all),prfrei,qx,4,1.113014177920856e-4,1.0391966761587627e-4,9622.317537257264
(all),(all),prfrei,qx,5,1.1121141652361223e-4,0,12700.418854433237
(all),(all),prfrei,qx,6,1.1136110761127047e-4,1.904348615850262e-4,15751.918124341411
(all),(all),prfrei,qx,7,1.1181867187399159e-4,5.2216894366643465e-5,19150.389996989314
(all),(all),prfrei,qx,8,1.1290842224040655e-4,1.3737750161438726e-4,21836.136911034173
(all),(all),prfrei,qx,9,1.1453137729563482e-4,2.0781470248821112e-4,24057.39537859401
(all),(all),prfrei,qx,10,1.1672316323400356e-4,0,25291.736745446335
(all),(all),prfrei,qx,11,1.1998399271081265e-4,1.1942658759494365e-4,25118.534494957097
(all),(all),prfrei,qx,12,1.2488852685453447e-4,1.19603039259123e-4,25081.474634954087
(all),(all),prfrei,qx,13,1.3214190104832534e-4,7.971810798592947e-5,25087.40275477947
(all),(all),prfrei,qx,14,1.4263897361563093e-4,7.962326282559865e-5,25117.28740779768
(all),(all),prfrei,qx,15,1.571143974712196e-4,7.904945040975213e-5,25299.61865873852
(all),(all),prfrei,qx,16,1.759493364625364e-4,1.924909676301011e-4,25972.7447689297
(all),(all),prfrei,qx,17,1.9868504145800103e-4,3.356691849192644e-4,26807.612652416075
(all),(all),prfrei,qx,18,2.245067631738955e-4,1.0589474346352262e-4,28328.518109287972
(all),(all),prfrei,qx,19,2.5286022258060503e-4,3.450238476977245e-4,31876.35417732952
(all),(all),prfrei,qx,20,2.8116839954163533e-4,4.2339599483382553e-4,37781.68198855939
